# Generated: 2025-11-18T22:23:37.278Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Source page: https://tracinginsights.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event: São Paulo Grand Prix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Session: Race,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Year: 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: Values are in SI units unless specified. Missing fields are empty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Status legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   1 = Track Clear - Normal racing conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   2 = Yellow Flag - Caution period, no overtaking in affected sector,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   4 = Safety Car - All cars follow safety car,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   5 = Red Flag - Session stopped, return to pits,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   6 = Virtual Safety Car - Maintain minimum lap time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   7 = VSC Ending - Normal racing about to resume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Options: fuelCorrection=on, includeAllColumns=on,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Drivers: GAS, COL,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP,GAS_TIME,GAS_TIME_(FUEL_CORRECTED),GAS_POSITION,GAS_POSITION_CHANGE,GAS_COMPOUND,GAS_STINT,GAS_PITSTOP,GAS_TIRE_LIFE,GAS_S1,GAS_S2,GAS_S3,GAS_SECTOR_SUM,GAS_STATUS,GAS_PERSONAL_BEST,COL_TIME,COL_TIME_(FUEL_CORRECTED),COL_POSITION,COL_POSITION_CHANGE,COL_COMPOUND,COL_STINT,COL_PITSTOP,COL_TIRE_LIFE,COL_S1,COL_S2,COL_S3,COL_SECTOR_SUM,COL_STATUS,COL_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Lap time adjusted for fuel load (lighter fuel = faster theoretical pace),Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap),Lap time in seconds,Lap time adjusted for fuel load (lighter fuel = faster theoretical pace),Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
1,83.216,80.25825352112676,8,,SOFT,1,FALSE,4,,40.271,17.23,,12,FALSE,86.575,83.61725352112677,16,,MEDIUM,1,FALSE,1,,41.599,17.47,,12,FALSE
2,111.215,108.29950704225352,9,-1,SOFT,1,FALSE,5,19.714,70.783,20.718,111.215,24,FALSE,118.185,115.26950704225352,15,1,MEDIUM,1,FALSE,2,20.648,75.939,21.598,118.18499999999999,24,FALSE
3,112.063,109.18976056338029,9,0,SOFT,1,FALSE,6,25.493,61.535,25.035,112.06299999999999,4,FALSE,109.957,107.08376056338028,15,0,MEDIUM,1,FALSE,3,23.839,58.823,27.295,109.95700000000001,4,FALSE
4,108.619,105.78801408450704,9,0,SOFT,1,FALSE,7,26.554,59.503,22.562,108.619,4,FALSE,106.598,103.76701408450704,15,0,MEDIUM,1,FALSE,4,26.302,59.733,20.563,106.598,4,FALSE
5,114.339,111.5502676056338,9,0,SOFT,1,FALSE,8,29.939,54.13,30.27,114.339,41,FALSE,109.687,106.8982676056338,14,1,MEDIUM,1,FALSE,5,30.803,50.615,28.269,109.68700000000001,41,FALSE
6,78.106,75.35952112676055,8,1,SOFT,1,FALSE,9,20.739,40.298,17.069,78.10600000000001,12,FALSE,79.463,76.71652112676055,14,0,MEDIUM,1,FALSE,6,21.417,40.733,17.313,79.463,12,FALSE
7,103.042,100.33777464788733,8,0,SOFT,1,FALSE,10,31.585,47.266,24.191,103.042,26,FALSE,104.125,101.42077464788733,13,1,MEDIUM,1,FALSE,7,35.657,44.297,24.171,104.125,26,FALSE
8,99.247,96.58502816901408,8,0,SOFT,1,FALSE,11,27.337,52.648,19.262,99.247,671,FALSE,98.845,96.18302816901408,14,-1,MEDIUM,1,FALSE,8,27.321,52.324,19.2,98.845,671,FALSE
9,75.653,73.03328169014085,8,0,SOFT,1,FALSE,12,20.056,38.815,16.782,75.65299999999999,1,FALSE,75.51,72.89028169014085,14,0,MEDIUM,1,FALSE,9,19.521,38.999,16.99,75.51,1,FALSE
